Time_h,OD_600nm,Glucose_gL,Xylose_gL,Strain,Condition
0.0,0.06,15.0,0.0,B. subtilis,Diauxic
0.5,0.109,14.96,0.0,B. subtilis,Diauxic
1.0,0.111,14.89,0.0,B. subtilis,Diauxic
1.5,0.141,14.81,0.0,B. subtilis,Diauxic
2.0,0.196,14.68,0.0,B. subtilis,Diauxic
2.5,0.229,14.5,0.0,B. subtilis,Diauxic
3.0,0.398,14.23,0.0,B. subtilis,Diauxic
3.5,0.598,13.86,0.0,B. subtilis,Diauxic
4.0,0.944,13.32,0.0,B. subtilis,Diauxic
4.5,1.294,12.55,0.0,B. subtilis,Diauxic
5.0,1.742,11.44,0.0,B. subtilis,Diauxic
5.5,2.639,9.85,0.0,B. subtilis,Diauxic
6.0,3.74,7.58,0.0,B. subtilis,Diauxic
6.5,5.355,4.32,0.0,B. subtilis,Diauxic
7.0,7.754,0.0,0.0,B. subtilis,Diauxic
7.5,11.122,0.0,0.0,B. subtilis,Diauxic
8.0,15.047,0.0,0.0,B. subtilis,Diauxic
8.5,14.958,0.0,0.0,B. subtilis,Diauxic
9.0,14.985,0.0,0.0,B. subtilis,Diauxic
9.5,15.017,0.0,0.0,B. subtilis,Diauxic
10.0,15.049,0.0,0.0,B. subtilis,Diauxic
10.5,14.976,0.0,0.0,B. subtilis,Diauxic
11.0,14.991,0.0,0.0,B. subtilis,Diauxic
11.5,14.945,0.0,0.0,B. subtilis,Diauxic
12.0,14.94,0.0,0.0,B. subtilis,Diauxic
12.5,15.041,0.0,0.0,B. subtilis,Diauxic
13.0,15.068,0.0,0.0,B. subtilis,Diauxic
13.5,14.996,0.0,0.0,B. subtilis,Diauxic
14.0,15.05,0.0,0.0,B. subtilis,Diauxic
14.5,15.168,0.0,0.0,B. subtilis,Diauxic
15.0,15.268,0.0,0.0,B. subtilis,Diauxic
15.5,15.468,0.0,0.0,B. subtilis,Diauxic
16.0,15.677,0.0,0.0,B. subtilis,Diauxic
16.5,18.863,0.0,1.41,B. subtilis,Diauxic
17.0,22.89,0.0,2.19,B. subtilis,Diauxic
17.5,27.454,0.0,3.62,B. subtilis,Diauxic
18.0,33.398,0.0,5.03,B. subtilis,Diauxic
18.5,40.341,0.0,5.07,B. subtilis,Diauxic
19.0,44.985,0.0,5.93,B. subtilis,Diauxic
19.5,45.005,0.0,7.65,B. subtilis,Diauxic
20.0,44.901,0.0,8.01,B. subtilis,Diauxic
20.5,44.989,0.0,8.11,B. subtilis,Diauxic
21.0,45.018,0.0,9.3,B. subtilis,Diauxic
21.5,45.074,0.0,9.43,B. subtilis,Diauxic
22.0,44.974,0.0,10.03,B. subtilis,Diauxic
22.5,44.96,0.0,10.95,B. subtilis,Diauxic
23.0,44.975,0.0,10.41,B. subtilis,Diauxic
23.5,45.046,0.0,11.01,B. subtilis,Diauxic
24.0,45.016,0.0,12.06,B. subtilis,Diauxic
24.5,44.974,0.0,12.28,B. subtilis,Diauxic
25.0,45.026,0.0,13.37,B. subtilis,Diauxic
25.5,45.005,0.0,13.15,B. subtilis,Diauxic
26.0,45.048,0.0,13.27,B. subtilis,Diauxic
26.5,44.965,0.0,15.06,B. subtilis,Diauxic
27.0,44.984,0.0,14.54,B. subtilis,Diauxic
27.5,44.98,0.0,15.0,B. subtilis,Diauxic
28.0,44.927,0.0,14.55,B. subtilis,Diauxic
28.5,45.015,0.0,15.27,B. subtilis,Diauxic
29.0,45.013,0.0,15.85,B. subtilis,Diauxic
29.5,45.0,0.0,15.47,B. subtilis,Diauxic
30.0,44.988,0.0,16.46,B. subtilis,Diauxic
30.5,44.929,0.0,16.19,B. subtilis,Diauxic
31.0,44.979,0.0,16.55,B. subtilis,Diauxic
31.5,44.983,0.0,16.59,B. subtilis,Diauxic
32.0,44.96,0.0,17.99,B. subtilis,Diauxic
32.5,44.992,0.0,17.23,B. subtilis,Diauxic
33.0,45.02,0.0,16.87,B. subtilis,Diauxic
33.5,45.094,0.0,17.96,B. subtilis,Diauxic
34.0,45.009,0.0,17.08,B. subtilis,Diauxic
34.5,45.013,0.0,17.93,B. subtilis,Diauxic
35.0,44.996,0.0,16.97,B. subtilis,Diauxic
35.5,44.904,0.0,17.41,B. subtilis,Diauxic
