Time_h,VCD_1e6_per_mL,Glucose_gL,mAb_gL
0,0.38,9.97,0.0
12,0.3,10.02,0.0
24,0.69,9.83,0.01
36,1.19,9.73,0.01
48,1.01,9.72,0.0
60,1.51,9.44,0.0
72,2.8,8.95,0.0
84,3.64,8.47,0.01
96,4.87,7.99,0.03
108,7.51,6.69,0.05
120,10.65,5.31,0.05
132,11.86,4.84,0.07
144,12.07,4.78,0.07
156,11.43,5.04,0.05
168,11.48,5.0,0.06
180,11.83,4.83,0.08
192,11.7,4.83,0.06
204,12.09,4.69,0.08
216,11.73,4.87,0.04
228,11.58,5.01,0.07
240,12.44,4.59,0.07
252,11.93,4.71,0.06
264,12.02,4.78,0.06
276,11.57,4.94,0.04
288,11.84,4.81,0.06
300,12.03,4.79,0.07
312,11.65,4.98,0.08
324,12.11,4.77,0.06
