Time_h,OD_600nm,Biomass_gL,Glucose_gL,Acetate_gL,pH,DO_percent,Temperature_C,CER_mmol_Lh,OUR_mmol_Lh,RQ,Agitation_rpm,Airflow_vvm,Pressure_bar,Strain,Condition
0.0,0.06,0.021,10.01,0.0,7.02,96.6,37.0,0.0,0.0,0.8,302.0,0.99,0.993,E. coli MG1655,Standard batch
0.25,0.048,0.017,10.02,0.0,7.04,98.1,36.7,0.05,0.048,1.027,306.0,0.99,1.012,E. coli MG1655,Standard batch
0.5,0.065,0.023,10.0,0.0,7.02,99.0,37.1,0.0,0.013,0.8,300.0,0.99,0.985,E. coli MG1655,Standard batch
0.75,0.084,0.029,9.97,0.0,6.97,99.8,37.1,0.038,0.0,1.2,305.0,0.93,0.995,E. coli MG1655,Standard batch
1.0,0.05,0.018,9.94,0.0,6.99,100.0,36.8,0.078,0.0,1.2,302.0,0.95,1.004,E. coli MG1655,Standard batch
1.25,0.052,0.018,9.99,0.0,7.02,100.0,36.9,0.0,0.0,0.8,301.0,0.95,1.016,E. coli MG1655,Standard batch
1.5,0.082,0.029,9.96,0.0,6.98,98.9,36.8,0.0,0.095,0.8,307.0,0.97,1.0,E. coli MG1655,Standard batch
1.75,0.071,0.025,9.95,0.0,7.01,99.3,37.0,0.035,0.0,1.2,310.0,1.0,0.995,E. coli MG1655,Standard batch
2.0,0.053,0.019,10.0,0.0,7.01,97.5,37.2,0.0,0.0,0.8,310.0,1.02,1.019,E. coli MG1655,Standard batch
2.25,0.081,0.028,10.0,0.0,6.98,99.2,36.8,0.024,0.0,1.2,300.0,1.08,0.986,E. coli MG1655,Standard batch
2.5,0.069,0.024,10.09,0.0,7.0,98.8,37.1,0.0,0.0,0.8,300.0,0.96,0.978,E. coli MG1655,Standard batch
2.75,0.078,0.027,9.99,0.0,6.93,99.9,36.9,0.008,0.0,1.2,300.0,1.05,1.005,E. coli MG1655,Standard batch
3.0,0.103,0.036,9.98,0.0,6.98,97.4,36.8,0.0,0.012,0.8,305.0,1.0,0.996,E. coli MG1655,Standard batch
3.25,0.072,0.025,9.99,0.0,6.99,100.0,37.0,0.061,0.0,1.2,303.0,1.0,0.99,E. coli MG1655,Standard batch
3.5,0.088,0.031,9.88,0.0,6.97,100.0,36.8,0.016,0.047,0.8,300.0,1.03,1.008,E. coli MG1655,Standard batch
3.75,0.126,0.044,9.94,0.0,7.03,98.6,36.9,0.021,0.11,0.8,304.0,0.95,1.003,E. coli MG1655,Standard batch
4.0,0.134,0.047,9.94,0.0,6.97,99.5,36.8,0.0,0.075,0.8,300.0,1.02,0.995,E. coli MG1655,Standard batch
4.25,0.179,0.063,10.02,0.0,6.99,99.7,37.4,0.0,0.011,0.8,300.0,1.01,0.988,E. coli MG1655,Standard batch
4.5,0.175,0.061,9.89,0.0,7.0,97.5,37.0,0.0,0.0,0.8,300.0,1.04,1.01,E. coli MG1655,Standard batch
4.75,0.188,0.066,9.91,0.0,7.03,98.7,36.9,0.023,0.155,0.8,300.0,1.02,1.008,E. coli MG1655,Standard batch
5.0,0.271,0.095,9.82,0.0,6.97,97.5,37.0,0.0,0.04,0.8,300.0,1.14,1.001,E. coli MG1655,Standard batch
5.25,0.266,0.093,9.77,0.0,7.02,97.7,37.0,0.018,0.037,0.8,300.0,0.98,1.02,E. coli MG1655,Standard batch
5.5,0.304,0.106,9.85,0.0,6.99,95.6,37.0,0.108,0.04,1.2,314.0,1.0,0.991,E. coli MG1655,Standard batch
5.75,0.31,0.109,9.83,0.0,6.97,97.1,37.1,0.047,0.052,0.886,301.0,0.98,0.987,E. coli MG1655,Standard batch
6.0,0.368,0.129,9.78,0.0,7.0,97.5,37.2,0.0,0.042,0.8,318.0,0.98,0.995,E. coli MG1655,Standard batch
6.25,0.426,0.149,9.65,0.0,7.0,98.9,36.9,0.064,0.028,1.2,305.0,0.97,1.002,E. coli MG1655,Standard batch
6.5,0.451,0.158,9.74,0.0,6.98,97.6,36.9,0.0,0.033,0.8,306.0,1.07,1.005,E. coli MG1655,Standard batch
6.75,0.538,0.188,9.53,0.0,6.99,99.2,36.9,0.0,0.07,0.8,300.0,1.07,1.001,E. coli MG1655,Standard batch
7.0,0.582,0.204,9.59,0.0,6.98,92.9,36.5,0.0,0.049,0.8,318.0,1.01,1.007,E. coli MG1655,Standard batch
7.25,0.659,0.231,9.61,0.0,6.99,95.5,36.7,0.0,0.05,0.8,306.0,0.98,0.991,E. coli MG1655,Standard batch
