Time_h,OD_600nm,Glucose_gL,Lactose_gL,Beta_Galactosidase_U,DO_percent,CO2_percent,pH,Strain,Condition
0.0,0.013,10.0,0.0,0.0,99.6,-0.015,7.0,E. coli MG1655,Diauxic growth
0.5,0.114,9.98,0.0,0.0,100.0,0.001,7.0,E. coli MG1655,Diauxic growth
1.0,0.068,9.96,0.0,0.0,100.0,0.016,7.0,E. coli MG1655,Diauxic growth
1.5,0.152,9.93,0.0,0.0,98.8,-0.037,6.97,E. coli MG1655,Diauxic growth
2.0,0.166,9.9,0.0,0.0,98.9,-0.037,6.99,E. coli MG1655,Diauxic growth
2.5,0.276,9.85,0.0,0.0,100.0,-0.046,7.0,E. coli MG1655,Diauxic growth
3.0,0.179,9.79,0.0,0.0,100.0,-0.065,7.0,E. coli MG1655,Diauxic growth
3.5,0.359,9.71,0.0,0.0,94.8,-0.031,6.96,E. coli MG1655,Diauxic growth
4.0,0.446,9.61,0.0,0.0,94.1,0.046,6.97,E. coli MG1655,Diauxic growth
4.5,0.48,9.48,0.0,0.0,96.2,-0.004,6.99,E. coli MG1655,Diauxic growth
5.0,0.713,9.31,0.0,0.0,97.4,0.086,7.0,E. coli MG1655,Diauxic growth
5.5,0.887,9.09,0.0,0.0,96.3,0.076,6.94,E. coli MG1655,Diauxic growth
6.0,1.123,8.8,0.0,0.0,96.2,-0.004,6.97,E. coli MG1655,Diauxic growth
6.5,1.436,8.42,0.0,0.0,90.0,0.154,6.97,E. coli MG1655,Diauxic growth
7.0,1.876,7.94,0.0,0.0,85.5,0.199,6.98,E. coli MG1655,Diauxic growth
7.5,2.552,7.31,0.0,0.0,88.3,0.165,6.96,E. coli MG1655,Diauxic growth
8.0,3.204,6.5,0.0,0.0,81.5,0.291,6.94,E. coli MG1655,Diauxic growth
8.5,4.186,5.44,0.0,0.0,73.9,0.311,6.9,E. coli MG1655,Diauxic growth
9.0,5.357,4.07,0.0,0.0,72.1,0.462,6.85,E. coli MG1655,Diauxic growth
9.5,6.957,2.29,0.0,0.0,65.0,0.545,6.85,E. coli MG1655,Diauxic growth
10.0,9.107,-0.02,0.0,0.0,51.8,0.745,6.83,E. coli MG1655,Diauxic growth
10.5,9.446,-3.01,0.0,0.0,49.4,0.939,6.83,E. coli MG1655,Diauxic growth
11.0,9.483,-6.88,0.0,0.0,49.8,1.096,6.82,E. coli MG1655,Diauxic growth
11.5,9.501,-11.91,0.0,0.0,49.3,1.221,6.82,E. coli MG1655,Diauxic growth
12.0,9.504,0.0,0.0,0.0,47.3,1.241,6.84,E. coli MG1655,Diauxic growth
12.5,9.493,0.0,0.0,0.0,48.6,1.221,6.84,E. coli MG1655,Diauxic growth
13.0,9.516,0.0,0.0,0.0,51.0,1.118,6.87,E. coli MG1655,Diauxic growth
13.5,9.528,0.0,0.0,0.0,50.5,0.962,6.93,E. coli MG1655,Diauxic growth
14.0,9.529,0.0,0.0,0.0,50.2,0.879,6.88,E. coli MG1655,Diauxic growth
14.5,9.461,0.0,0.0,0.0,48.2,0.785,6.93,E. coli MG1655,Diauxic growth
15.0,-0.011,0.0,0.0,0.0,99.7,0.063,7.0,E. coli MG1655,Diauxic growth
15.5,0.048,0.0,0.36,0.0,95.4,-0.054,7.0,E. coli MG1655,Diauxic growth
16.0,0.036,0.0,0.7,0.015,100.0,0.028,7.0,E. coli MG1655,Diauxic growth
16.5,-0.055,0.0,1.01,-0.009,100.0,0.054,7.0,E. coli MG1655,Diauxic growth
17.0,0.014,0.0,1.3,0.009,97.0,0.025,6.99,E. coli MG1655,Diauxic growth
17.5,-0.079,0.0,1.56,0.008,99.2,-0.017,6.98,E. coli MG1655,Diauxic growth
18.0,0.002,0.0,1.81,0.018,100.0,-0.026,7.0,E. coli MG1655,Diauxic growth
18.5,0.076,0.0,2.04,-0.008,100.0,0.058,7.0,E. coli MG1655,Diauxic growth
19.0,-0.038,0.0,2.26,0.008,99.3,-0.074,6.98,E. coli MG1655,Diauxic growth
19.5,-0.033,0.0,2.45,-0.009,98.8,-0.051,6.97,E. coli MG1655,Diauxic growth
20.0,0.031,0.0,2.64,0.009,95.9,-0.017,7.0,E. coli MG1655,Diauxic growth
20.5,-0.062,0.0,2.81,-0.013,100.0,0.057,7.0,E. coli MG1655,Diauxic growth
21.0,-0.025,0.0,2.97,-0.009,100.0,0.017,7.0,E. coli MG1655,Diauxic growth
21.5,0.024,0.0,3.11,0.03,100.0,-0.046,7.0,E. coli MG1655,Diauxic growth
22.0,-0.025,0.0,3.25,-0.008,100.0,-0.018,7.0,E. coli MG1655,Diauxic growth
22.5,-0.009,0.0,3.38,-0.025,100.0,-0.032,7.0,E. coli MG1655,Diauxic growth
23.0,0.03,0.0,3.49,0.0,99.8,-0.033,7.0,E. coli MG1655,Diauxic growth
23.5,0.017,0.0,3.6,0.008,98.3,0.05,6.99,E. coli MG1655,Diauxic growth
24.0,0.011,0.0,3.7,0.028,100.0,-0.068,6.97,E. coli MG1655,Diauxic growth
24.5,-0.014,0.0,3.8,0.008,100.0,0.079,7.0,E. coli MG1655,Diauxic growth
25.0,0.015,0.0,3.88,-0.013,100.0,0.043,6.99,E. coli MG1655,Diauxic growth
25.5,-0.005,0.0,3.96,0.048,98.1,0.054,7.0,E. coli MG1655,Diauxic growth
26.0,0.018,0.0,4.04,0.011,100.0,-0.022,7.0,E. coli MG1655,Diauxic growth
26.5,-0.02,0.0,4.11,0.02,100.0,-0.009,6.98,E. coli MG1655,Diauxic growth
27.0,-0.007,0.0,4.17,-0.005,98.9,-0.072,7.0,E. coli MG1655,Diauxic growth
27.5,-0.04,0.0,4.23,-0.001,100.0,-0.03,7.0,E. coli MG1655,Diauxic growth
28.0,-0.001,0.0,4.29,0.016,99.0,0.025,7.0,E. coli MG1655,Diauxic growth
28.5,-0.032,0.0,4.34,0.015,98.6,0.062,7.0,E. coli MG1655,Diauxic growth
29.0,-0.045,0.0,4.39,0.008,98.7,-0.059,7.0,E. coli MG1655,Diauxic growth
29.5,0.01,0.0,4.43,0.021,96.4,-0.017,7.0,E. coli MG1655,Diauxic growth
30.0,0.009,0.0,4.47,-0.004,100.0,-0.007,7.0,E. coli MG1655,Diauxic growth
30.5,0.031,0.0,4.51,-0.002,96.2,-0.067,7.0,E. coli MG1655,Diauxic growth
31.0,-0.017,0.0,4.55,0.002,97.6,0.028,6.97,E. coli MG1655,Diauxic growth
31.5,0.016,0.0,4.58,0.024,95.8,-0.035,6.99,E. coli MG1655,Diauxic growth
32.0,0.022,0.0,4.61,0.002,99.7,-0.008,6.98,E. coli MG1655,Diauxic growth
32.5,0.018,0.0,4.64,0.027,99.6,-0.021,7.0,E. coli MG1655,Diauxic growth
