Time_h,OD_600nm,Acetate_gL,PHA_gL
0,0.036,15.09,-0.001
1,0.022,14.93,0.026
2,0.052,15.02,-0.004
3,0.086,14.82,0.02
4,0.043,14.96,-0.063
5,0.055,15.04,-0.029
6,0.123,14.82,0.015
7,0.117,14.84,-0.011
8,0.102,14.72,0.043
9,0.159,14.55,0.101
10,0.162,14.6,0.166
11,0.203,14.51,0.097
12,0.276,14.08,0.178
13,0.274,14.12,0.154
14,0.357,13.71,0.136
15,0.487,13.2,0.323
16,0.591,13.0,0.363
17,0.776,12.34,0.601
18,0.919,11.65,0.593
19,1.124,10.97,0.741
20,1.483,9.52,0.984
21,1.769,8.32,1.143
22,2.193,6.79,1.534
23,2.66,5.12,1.817
24,3.318,2.43,2.303
25,4.117,0.16,2.626
26,5.04,-0.26,2.817
27,5.511,0.08,2.615
28,5.482,0.01,2.728
29,5.491,-0.03,2.815
30,5.482,0.01,2.649
31,5.556,-0.2,2.707
32,5.5,-0.02,2.709
33,5.468,0.04,2.668
34,5.525,0.15,2.596
35,5.463,-0.05,2.713
36,5.506,-0.08,2.661
37,5.441,-0.05,2.733
38,5.46,0.09,2.638
39,5.506,0.03,2.772
40,5.522,-0.05,2.67
41,5.505,0.05,2.675
42,5.497,0.01,2.739
43,5.491,0.1,2.621
44,5.456,-0.07,2.724
45,5.478,-0.03,2.771
46,5.486,-0.04,2.627
47,5.532,-0.15,2.736
