Time_h,OD_600nm,Glucose_gL,Protein_gL,Strain,Condition
0,0.038,10.0,0.0,E. coli BL21,Fed-batch Endo H
1,0.013,10.02,0.0,E. coli BL21,Fed-batch Endo H
2,0.064,9.98,0.0,E. coli BL21,Fed-batch Endo H
3,0.126,9.93,0.0,E. coli BL21,Fed-batch Endo H
4,0.067,9.98,0.0,E. coli BL21,Fed-batch Endo H
5,0.111,9.94,0.0,E. coli BL21,Fed-batch Endo H
6,0.272,9.8,0.0,E. coli BL21,Fed-batch Endo H
7,0.341,9.75,0.0,E. coli BL21,Fed-batch Endo H
8,0.451,9.66,0.0,E. coli BL21,Fed-batch Endo H
9,0.771,9.39,0.0,E. coli BL21,Fed-batch Endo H
10,1.144,9.08,0.0,E. coli BL21,Fed-batch Endo H
11,1.807,8.53,0.0,E. coli BL21,Fed-batch Endo H
12,2.882,7.63,0.0,E. coli BL21,Fed-batch Endo H
13,4.405,6.36,0.0,E. coli BL21,Fed-batch Endo H
14,6.973,4.22,0.0,E. coli BL21,Fed-batch Endo H
15,8.472,2.97,0.0,E. coli BL21,Fed-batch Endo H
16,8.449,2.99,0.0,E. coli BL21,Fed-batch Endo H
17,8.516,2.94,0.0,E. coli BL21,Fed-batch Endo H
18,8.455,2.99,0.0,E. coli BL21,Fed-batch Endo H
19,8.429,3.01,0.0,E. coli BL21,Fed-batch Endo H
20,8.573,2.89,0.0,E. coli BL21,Fed-batch Endo H
21,9.572,0.99,0.0,E. coli BL21,Fed-batch Endo H
22,10.809,1.47,0.031,E. coli BL21,Fed-batch Endo H
23,12.112,0.21,0.065,E. coli BL21,Fed-batch Endo H
24,13.709,1.25,0.004,E. coli BL21,Fed-batch Endo H
25,15.494,1.03,0.016,E. coli BL21,Fed-batch Endo H
26,17.405,0.91,0.032,E. coli BL21,Fed-batch Endo H
27,19.708,1.03,0.024,E. coli BL21,Fed-batch Endo H
28,22.169,0.4,0.008,E. coli BL21,Fed-batch Endo H
29,25.015,0.93,0.045,E. coli BL21,Fed-batch Endo H
30,28.191,1.11,0.028,E. coli BL21,Fed-batch Endo H
31,31.912,1.44,0.065,E. coli BL21,Fed-batch Endo H
32,35.875,0.84,0.044,E. coli BL21,Fed-batch Endo H
33,40.397,0.76,0.102,E. coli BL21,Fed-batch Endo H
34,45.648,0.85,0.064,E. coli BL21,Fed-batch Endo H
35,51.361,1.27,0.083,E. coli BL21,Fed-batch Endo H
36,57.989,1.1,0.118,E. coli BL21,Fed-batch Endo H
37,65.272,0.84,0.09,E. coli BL21,Fed-batch Endo H
38,73.638,1.15,0.133,E. coli BL21,Fed-batch Endo H
39,83.112,1.03,0.172,E. coli BL21,Fed-batch Endo H
40,93.734,1.29,0.132,E. coli BL21,Fed-batch Endo H
41,105.652,0.79,0.189,E. coli BL21,Fed-batch Endo H
42,119.106,0.9,0.214,E. coli BL21,Fed-batch Endo H
43,119.985,0.88,0.226,E. coli BL21,Fed-batch Endo H
44,119.926,0.56,0.185,E. coli BL21,Fed-batch Endo H
45,119.964,1.09,0.183,E. coli BL21,Fed-batch Endo H
46,119.977,1.08,0.22,E. coli BL21,Fed-batch Endo H
47,120.053,1.0,0.216,E. coli BL21,Fed-batch Endo H
48,120.017,0.93,0.215,E. coli BL21,Fed-batch Endo H
49,119.912,0.58,0.217,E. coli BL21,Fed-batch Endo H
50,120.016,0.87,0.196,E. coli BL21,Fed-batch Endo H
51,119.981,0.9,0.215,E. coli BL21,Fed-batch Endo H
52,119.966,0.76,0.216,E. coli BL21,Fed-batch Endo H
53,120.031,0.95,0.196,E. coli BL21,Fed-batch Endo H
54,120.052,1.12,0.247,E. coli BL21,Fed-batch Endo H
55,120.047,1.57,0.219,E. coli BL21,Fed-batch Endo H
56,119.958,1.05,0.186,E. coli BL21,Fed-batch Endo H
57,119.985,1.08,0.223,E. coli BL21,Fed-batch Endo H
58,120.017,0.98,0.19,E. coli BL21,Fed-batch Endo H
59,120.049,0.42,0.226,E. coli BL21,Fed-batch Endo H
60,119.976,0.99,0.233,E. coli BL21,Fed-batch Endo H
61,119.991,1.02,0.194,E. coli BL21,Fed-batch Endo H
62,119.945,1.74,0.229,E. coli BL21,Fed-batch Endo H
63,119.94,0.94,0.218,E. coli BL21,Fed-batch Endo H
64,120.041,1.09,0.226,E. coli BL21,Fed-batch Endo H
65,120.068,0.99,0.248,E. coli BL21,Fed-batch Endo H
66,119.996,0.65,0.205,E. coli BL21,Fed-batch Endo H
67,120.05,1.34,0.195,E. coli BL21,Fed-batch Endo H
68,120.018,1.23,0.192,E. coli BL21,Fed-batch Endo H
69,119.968,1.24,0.194,E. coli BL21,Fed-batch Endo H
70,120.018,0.73,0.208,E. coli BL21,Fed-batch Endo H
71,120.077,1.42,0.217,E. coli BL21,Fed-batch Endo H
