Time_h,OD_600nm,Biomass_gL,Glucose_gL,Acetate_gL,pH,DO_percent,Temperature_C,CER_mmol_Lh,OUR_mmol_Lh,RQ,Agitation_rpm,FeedRate_mLh,BaseAddition_mLh,Offgas_CO2_percent,Strain,Condition
0.0,0.3,0.1,0.0,0.0,7.0,103.2,36.8,0.175,-0.054,-3.327,400.0,0.5,0.004,0.06,E. coli BL21(DE3),Fed-batch
0.5,0.4,0.1,0.1,0.021,7.03,100.3,37.1,-0.005,0.004,-0.979,401.0,0.5,0.009,0.02,E. coli BL21(DE3),Fed-batch
1.0,0.1,0.0,0.21,0.049,7.01,105.1,37.4,-0.015,0.03,-0.503,375.0,0.55,-0.006,0.08,E. coli BL21(DE3),Fed-batch
1.5,0.2,0.1,0.32,0.028,7.0,101.0,37.0,0.009,-0.078,-0.123,404.0,0.52,-0.005,0.05,E. coli BL21(DE3),Fed-batch
2.0,1.3,0.5,0.43,0.012,7.02,95.7,36.9,0.134,0.065,2.029,407.0,0.69,-0.01,-0.09,E. coli BL21(DE3),Fed-batch
2.5,1.1,0.4,0.54,0.013,7.04,100.8,37.0,-0.077,-0.027,2.917,401.0,0.53,0.005,0.12,E. coli BL21(DE3),Fed-batch
3.0,0.6,0.2,0.67,0.017,7.02,100.4,37.3,0.032,0.008,3.383,403.0,0.64,0.008,0.11,E. coli BL21(DE3),Fed-batch
3.5,0.4,0.2,0.8,0.015,7.0,102.3,36.9,0.104,0.062,1.638,401.0,0.76,0.005,-0.06,E. coli BL21(DE3),Fed-batch
4.0,0.6,0.2,0.93,0.006,6.96,101.0,36.8,0.058,0.011,4.988,424.0,0.69,0.017,0.02,E. coli BL21(DE3),Fed-batch
4.5,0.9,0.3,1.07,0.003,6.97,99.2,36.9,0.032,-0.027,-1.221,407.0,0.71,0.0,0.1,E. coli BL21(DE3),Fed-batch
5.0,0.2,0.1,1.21,0.0,6.99,97.4,36.8,0.104,-0.007,-18.648,405.0,0.73,0.007,-0.01,E. coli BL21(DE3),Fed-batch
5.5,0.8,0.3,1.36,0.0,6.98,99.1,37.0,-0.259,0.005,-40.83,403.0,0.77,-0.01,0.13,E. coli BL21(DE3),Fed-batch
6.0,0.3,0.1,1.52,0.0,6.99,98.1,37.3,0.072,-0.032,-2.359,390.0,0.88,-0.004,0.25,E. coli BL21(DE3),Fed-batch
6.5,1.6,0.6,1.68,0.0,7.0,97.9,37.1,-0.043,0.002,-12.871,401.0,0.73,0.008,-0.03,E. coli BL21(DE3),Fed-batch
7.0,2.0,0.7,1.84,0.0,7.01,100.0,36.9,-0.154,0.196,-0.784,396.0,0.95,0.01,-0.08,E. coli BL21(DE3),Fed-batch
7.5,1.9,0.7,2.01,0.0,7.0,102.2,36.9,0.077,0.089,0.861,386.0,0.84,-0.002,0.09,E. coli BL21(DE3),Fed-batch
8.0,3.4,1.2,2.18,0.0,7.01,98.8,36.7,0.185,0.03,6.015,406.0,0.93,0.001,0.17,E. coli BL21(DE3),Fed-batch
8.5,2.5,0.9,2.36,0.005,7.0,96.1,37.2,0.022,0.114,0.191,407.0,0.97,-0.014,0.05,E. coli BL21(DE3),Fed-batch
9.0,3.1,1.1,2.54,0.03,6.94,99.0,37.0,0.139,0.022,6.117,415.0,1.06,-0.002,0.24,E. coli BL21(DE3),Fed-batch
9.5,4.8,1.7,2.72,0.021,6.97,99.5,37.0,0.23,0.203,1.127,402.0,0.99,0.012,0.01,E. coli BL21(DE3),Fed-batch
10.0,6.3,2.2,2.9,0.0,6.99,95.0,37.6,0.221,0.148,1.477,420.0,1.14,0.009,0.26,E. coli BL21(DE3),Fed-batch
10.5,7.9,2.8,3.07,0.0,6.95,94.9,37.1,0.276,0.129,2.118,417.0,1.26,0.01,0.17,E. coli BL21(DE3),Fed-batch
11.0,8.5,3.0,3.26,0.024,7.01,94.9,36.8,0.194,0.194,0.993,422.0,1.14,0.005,0.42,E. coli BL21(DE3),Fed-batch
11.5,11.2,3.9,3.43,0.0,7.03,91.6,36.9,0.165,0.04,4.008,442.0,1.26,0.007,0.53,E. coli BL21(DE3),Fed-batch
12.0,11.2,3.9,3.61,0.002,7.02,94.5,37.2,-0.002,0.085,-0.027,413.0,1.27,-0.0,0.25,E. coli BL21(DE3),Fed-batch
12.5,11.7,4.1,3.8,0.018,6.98,92.6,37.0,0.141,0.087,1.596,423.0,1.38,0.014,0.29,E. coli BL21(DE3),Fed-batch
13.0,12.8,4.5,3.99,0.0,7.03,93.0,36.7,0.097,0.241,0.401,425.0,1.42,0.012,0.46,E. coli BL21(DE3),Fed-batch
13.5,13.4,4.7,4.19,0.01,6.99,90.0,37.2,0.406,0.409,0.99,426.0,1.44,0.013,0.35,E. coli BL21(DE3),Fed-batch
14.0,12.9,4.5,4.41,0.0,6.97,91.2,36.9,0.165,0.451,0.364,427.0,1.56,0.002,0.38,E. coli BL21(DE3),Fed-batch
14.5,15.1,5.3,4.62,0.0,6.96,92.1,37.4,0.226,0.331,0.681,427.0,1.69,-0.013,0.45,E. coli BL21(DE3),Fed-batch
15.0,15.8,5.5,4.85,0.016,6.97,89.5,37.2,0.278,0.329,0.843,451.0,1.65,0.02,0.27,E. coli BL21(DE3),Fed-batch
15.5,15.5,5.4,5.08,0.0,6.97,93.9,36.9,0.224,0.094,2.354,427.0,1.76,0.004,0.46,E. coli BL21(DE3),Fed-batch
16.0,16.8,5.9,5.32,0.019,6.99,88.8,37.3,0.407,0.242,1.671,447.0,1.73,0.001,0.43,E. coli BL21(DE3),Fed-batch
16.5,17.7,6.2,5.57,0.01,6.98,89.5,37.0,0.187,0.233,0.8,451.0,1.82,0.017,0.47,E. coli BL21(DE3),Fed-batch
17.0,18.4,6.4,5.84,0.022,6.98,90.4,37.2,0.279,0.262,1.06,437.0,1.97,0.007,0.68,E. coli BL21(DE3),Fed-batch
17.5,18.8,6.6,6.11,0.016,6.99,85.4,37.1,0.192,0.316,0.605,462.0,2.1,0.022,0.43,E. coli BL21(DE3),Fed-batch
18.0,19.7,6.9,6.39,0.039,7.01,84.2,36.8,0.146,0.3,0.484,462.0,2.13,0.018,0.66,E. coli BL21(DE3),Fed-batch
18.5,20.9,7.3,6.69,0.015,7.0,83.8,36.9,0.234,0.171,1.36,468.0,2.18,0.019,0.59,E. coli BL21(DE3),Fed-batch
19.0,22.5,7.9,6.99,0.005,6.93,88.3,37.2,0.313,0.471,0.664,441.0,2.29,-0.0,0.63,E. coli BL21(DE3),Fed-batch
19.5,23.1,8.1,7.3,0.016,6.9,84.2,36.9,0.283,0.301,0.94,439.0,2.32,0.026,0.76,E. coli BL21(DE3),Fed-batch
20.0,23.7,8.3,7.63,0.025,7.0,90.1,36.9,0.265,0.441,0.598,438.0,2.51,0.017,0.73,E. coli BL21(DE3),Fed-batch
20.5,25.3,8.8,7.97,0.016,6.93,82.7,36.8,0.216,0.653,0.33,483.0,2.62,0.011,0.8,E. coli BL21(DE3),Fed-batch
21.0,24.5,8.6,8.33,0.015,6.96,84.7,37.1,0.338,0.34,0.989,470.0,2.66,0.016,0.82,E. coli BL21(DE3),Fed-batch
21.5,27.6,9.7,8.7,0.002,6.93,85.3,37.4,0.239,0.234,1.018,469.0,2.77,-0.002,0.78,E. coli BL21(DE3),Fed-batch
22.0,27.2,9.5,9.09,0.003,6.91,86.4,36.8,0.461,0.452,1.016,467.0,2.92,0.02,0.74,E. coli BL21(DE3),Fed-batch
22.5,29.1,10.2,9.49,0.0,6.98,85.2,37.0,0.418,0.623,0.671,460.0,3.0,0.007,0.75,E. coli BL21(DE3),Fed-batch
