Time_h,OD_600nm,Biomass_gL,DO_percent,pH,Temperature_C,CER_mmol_Lh,OUR_mmol_Lh,RQ,Agitation_rpm,Airflow_vvm,Foam_level_percent,OxygenTransfer_mmol,Strain,Condition
0,0.1,0.0,100.0,7.01,37.0,-0.008,-0.048,0.168,407.0,0.98,-0.02,-0.0,E. coli BL21(DE3),High cell density
1,0.1,0.0,96.8,7.01,36.7,-0.05,0.112,-0.442,420.0,0.97,0.05,0.0,E. coli BL21(DE3),High cell density
2,0.1,0.0,100.0,7.01,36.8,0.026,-0.154,-0.17,385.0,0.99,0.01,-0.0,E. coli BL21(DE3),High cell density
3,0.6,0.2,91.8,6.97,37.3,0.003,-0.289,-0.011,451.0,1.18,0.1,-0.0,E. coli BL21(DE3),High cell density
4,0.1,0.0,98.2,7.01,37.2,0.114,0.059,1.901,433.0,0.95,0.05,-0.0,E. coli BL21(DE3),High cell density
5,0.1,0.0,98.5,7.04,37.0,0.01,0.026,0.374,414.0,0.97,-0.03,-0.0,E. coli BL21(DE3),High cell density
6,0.9,0.3,96.7,7.01,37.1,-0.059,-0.089,0.667,420.0,1.06,0.0,-0.0,E. coli BL21(DE3),High cell density
7,0.1,0.0,99.5,7.03,36.9,0.101,-0.096,-1.055,413.0,0.96,-0.0,-0.0,E. coli BL21(DE3),High cell density
8,0.4,0.1,95.3,6.99,37.3,-0.015,-0.089,0.174,430.0,1.03,-0.08,-0.0,E. coli BL21(DE3),High cell density
9,0.1,0.0,97.5,7.02,37.0,0.054,0.013,3.842,417.0,1.02,-0.05,-0.0,E. coli BL21(DE3),High cell density
10,0.2,0.1,99.5,7.01,37.0,-0.045,-0.059,0.773,392.0,0.94,-0.03,-0.0,E. coli BL21(DE3),High cell density
11,0.2,0.1,99.1,6.97,37.2,-0.062,0.053,-1.163,408.0,0.97,-0.1,-0.0,E. coli BL21(DE3),High cell density
12,0.1,0.0,98.3,7.01,36.8,0.01,-0.283,-0.036,420.0,1.06,0.0,-0.0,E. coli BL21(DE3),High cell density
13,1.0,0.4,94.1,6.97,37.3,0.018,-0.065,-0.284,427.0,1.02,-0.01,-0.0,E. coli BL21(DE3),High cell density
14,0.6,0.2,98.2,6.98,36.7,0.059,-0.099,-0.598,425.0,0.95,-0.08,-1.0,E. coli BL21(DE3),High cell density
15,0.1,0.0,98.5,7.01,37.3,-0.025,-0.024,1.117,408.0,0.99,0.02,-1.0,E. coli BL21(DE3),High cell density
16,0.1,0.0,99.3,7.01,36.9,-0.182,-0.052,3.588,395.0,1.05,0.04,-1.0,E. coli BL21(DE3),High cell density
17,0.2,0.1,100.0,6.96,37.0,-0.04,0.083,-0.478,410.0,0.99,0.01,-1.0,E. coli BL21(DE3),High cell density
18,0.1,0.0,96.7,7.03,36.6,0.081,-0.184,-0.443,417.0,1.03,-0.02,-1.0,E. coli BL21(DE3),High cell density
19,0.2,0.1,95.4,7.02,36.9,-0.027,0.008,-2.893,435.0,1.07,0.03,-1.0,E. coli BL21(DE3),High cell density
20,0.1,0.0,100.0,6.98,36.8,-0.023,0.058,-0.39,397.0,0.91,0.03,-1.0,E. coli BL21(DE3),High cell density
21,0.3,0.1,97.4,6.95,36.9,0.103,0.191,0.536,415.0,1.06,0.02,-0.0,E. coli BL21(DE3),High cell density
22,0.7,0.3,95.8,6.99,37.0,-0.059,-0.033,1.842,430.0,1.08,-0.04,-0.0,E. coli BL21(DE3),High cell density
23,0.3,0.1,97.0,6.99,37.2,-0.15,0.038,-3.799,421.0,1.02,0.01,-0.0,E. coli BL21(DE3),High cell density
24,0.1,0.0,99.0,7.0,37.0,-0.014,-0.178,0.081,386.0,1.07,0.06,-1.0,E. coli BL21(DE3),High cell density
25,0.7,0.2,99.8,6.99,37.1,-0.037,-0.225,0.165,390.0,0.95,-0.03,-1.0,E. coli BL21(DE3),High cell density
26,0.8,0.3,97.6,6.94,36.8,-0.083,0.102,-0.809,424.0,1.09,0.11,-1.0,E. coli BL21(DE3),High cell density
27,1.6,0.6,94.1,6.99,36.9,0.009,0.032,0.262,434.0,1.1,-0.02,-1.0,E. coli BL21(DE3),High cell density
28,0.1,0.0,96.7,6.99,37.4,0.051,0.12,0.42,415.0,1.03,0.0,-1.0,E. coli BL21(DE3),High cell density
29,0.1,0.0,97.1,7.02,36.9,0.001,-0.135,-0.008,404.0,1.04,-0.03,-1.0,E. coli BL21(DE3),High cell density
30,0.1,0.0,93.8,6.98,37.3,0.032,0.054,0.588,426.0,1.09,0.01,-1.0,E. coli BL21(DE3),High cell density
31,0.3,0.1,97.0,7.05,37.0,0.186,0.193,0.96,398.0,1.11,-0.09,-0.0,E. coli BL21(DE3),High cell density
32,0.1,0.0,100.0,6.94,37.0,-0.033,0.044,-0.724,399.0,0.95,-0.03,-0.0,E. coli BL21(DE3),High cell density
33,1.0,0.3,96.3,7.04,37.2,0.044,0.048,0.901,416.0,1.02,-0.05,-0.0,E. coli BL21(DE3),High cell density
34,0.1,0.0,99.1,6.99,37.3,-0.049,0.003,-12.505,396.0,1.07,0.01,-0.0,E. coli BL21(DE3),High cell density
35,0.1,0.0,99.5,7.03,37.0,-0.083,-0.155,0.539,403.0,0.98,0.05,-1.0,E. coli BL21(DE3),High cell density
36,0.1,0.0,98.1,7.0,36.9,-0.057,0.138,-0.41,415.0,1.07,0.03,-0.0,E. coli BL21(DE3),High cell density
37,0.1,0.0,99.9,7.03,37.0,-0.046,-0.059,0.797,421.0,1.09,-0.12,-0.0,E. coli BL21(DE3),High cell density
38,0.4,0.1,99.7,6.99,37.1,0.042,0.058,0.712,387.0,0.98,0.1,-0.0,E. coli BL21(DE3),High cell density
39,0.1,0.0,96.3,6.97,37.2,0.237,-0.154,-1.544,434.0,1.09,0.01,-1.0,E. coli BL21(DE3),High cell density
40,0.1,0.0,100.0,7.04,37.0,-0.07,-0.116,0.609,410.0,0.94,-0.04,-1.0,E. coli BL21(DE3),High cell density
41,0.1,0.0,100.0,7.0,37.1,-0.04,0.146,-0.273,392.0,1.04,0.01,-1.0,E. coli BL21(DE3),High cell density
42,0.1,0.0,98.7,7.01,37.3,-0.005,-0.033,0.147,410.0,1.03,0.01,-1.0,E. coli BL21(DE3),High cell density
43,0.8,0.3,97.4,7.04,37.1,0.053,0.162,0.326,411.0,1.06,-0.03,-0.0,E. coli BL21(DE3),High cell density
44,0.2,0.1,100.0,6.97,37.1,0.029,-0.004,-9.575,402.0,0.97,0.01,-0.0,E. coli BL21(DE3),High cell density
