Time_h,OD_600nm,Protein_gL
0,0.08,0.0
1,0.06,0.0
2,0.114,0.0
3,0.176,0.0
4,0.11,0.0
5,0.137,0.0
6,0.261,0.0
7,0.261,0.0
8,0.248,0.0
9,0.359,0.0
10,0.382,0.0
11,0.472,0.0
12,0.617,0.0
13,0.643,0.0
14,0.816,0.0
15,1.074,0.0
16,1.296,0.0
17,1.66,0.0
18,1.963,0.0
19,2.383,0.0
20,3.07,0.0
21,3.649,0.0
22,4.473,0.0
23,5.389,0.0
24,6.641,0.0
25,8.151,0.0
26,9.891,0.0
27,12.17,0.0
28,14.811,0.0
29,18.113,0.0
30,22.111,0.0
31,23.137,0.086
32,23.984,0.153
33,24.911,0.222
34,26.023,0.306
35,26.982,0.359
36,28.157,0.473
37,29.197,0.558
38,30.424,0.647
39,31.745,0.765
40,33.067,0.882
41,34.387,1.017
42,35.775,1.094
43,37.226,1.212
44,38.687,1.322
45,40.307,1.415
46,41.966,1.586
47,43.756,1.73
48,45.504,1.918
49,47.255,2.005
50,49.291,2.178
51,51.267,2.329
52,53.345,2.473
53,55.588,2.699
54,57.876,2.874
55,60.231,3.063
56,62.599,3.218
57,65.182,3.471
58,67.874,3.631
59,70.676,3.895
60,73.486,4.151
61,76.5,4.329
62,79.577,4.584
63,82.822,4.856
64,86.305,5.123
65,89.853,5.386
66,93.445,5.706
67,97.313,5.993
68,101.25,6.338
69,105.331,6.637
70,109.681,7.034
71,114.216,7.35
72,118.795,7.726
73,123.723,8.143
74,128.56,8.489
75,133.984,8.952
76,139.414,9.408
77,145.084,9.803
78,151.025,10.314
79,157.084,10.801
80,163.587,11.331
81,170.293,11.827
82,177.298,12.386
83,184.431,12.994
84,191.944,13.59
85,199.795,14.217
86,208.02,14.877
87,216.478,15.533
88,225.269,16.255
89,234.516,16.996
90,244.065,17.74
91,254.069,18.592
92,264.352,19.386
93,275.161,20.218
94,286.388,21.153
95,298.023,22.051
