Time_h,OD_600nm,Protein_gL
0,0.11943904790822638,0.0
1,0.06970059102400873,0.0
2,0.16476885381006925,0.0
3,0.27202472195298355,0.0
4,0.11991760398370041,0.0
5,0.14818699052356782,0.0
6,0.36336460261512793,0.0
7,0.3227037840309858,0.0
8,0.24752051651305723,0.0
9,0.40679815309513473,0.0
10,0.375727812418409,0.0
11,0.45873605629936104,0.0
12,0.6291609735978979,0.0
13,0.5329462740503215,0.0
14,0.6946219825950424,0.0
15,0.9818949033490871,0.0
16,1.1415765543243122,0.0
17,1.5193979057468106,0.0
18,1.690624910409099,0.0
19,1.9915253460691613,0.0
20,2.6999370516273076,0.0
21,3.034363872056367,0.0
22,3.66657626483659,0.0
23,4.2391293549360505,0.0
24,5.191294322457387,0.0
25,6.291374403891152,0.0
26,7.403763471460081,0.0
27,9.03928293188675,0.0
28,10.716943388148167,0.0
29,12.873250835758487,0.0
30,15.386830841366148,0.0
31,16.102660552780605,0.32603822314026165
32,16.400841007516384,0.5551519352543487
33,16.795940711593133,0.5434823492975356
34,17.4987000517214,1.0669443997849177
35,17.82477092818614,1.1932370662104352
36,18.514304766568824,1.518701264466575
37,18.860659833475022,1.7114172042697429
38,19.504168930289996,1.92920526812041
39,20.254708962401672,2.392870135514417
40,20.92511768690918,2.7569137207356333
41,21.50342359855254,3.1021057502188025
42,22.129076792179884,3.315124133881716
43,22.784814172841475,3.6284816549815346
44,23.361890237487117,3.932356515269788
45,24.153736264955942,4.399137487068531
46,24.917439841873406,4.751656725125144
47,25.829467813199376,5.164745145116792
48,26.541522407579542,5.572923824150895
49,27.138119784939406,5.850413018642561
50,28.178680244467497,6.41427162046585
51,28.96494521113184,6.72386919957751
52,29.819047896675432,7.169640089713284
53,30.85809446662518,7.6859410743614385
54,31.83793284403465,8.122289923316178
55,32.794430449508724,8.688520487313045
56,33.61328361068487,9.096193817656884
57,34.69251681028834,9.623013326681749
58,35.814050514025624,10.17179514904951
59,36.96817005364793,10.689815738426901
60,37.945575530029664,11.22825474758202
61,39.132001177322444,11.825364111540338
62,40.23224585187292,12.352508311180834
63,41.45188227579053,12.994376101017421
64,42.918796268168116,13.75609992563024
65,44.27776511745416,14.509691102493061
66,45.479268437794474,15.024862358244285
67,46.97209196803089,15.775422752257038
68,48.33535923778333,16.440456571808813
69,49.7056131532202,17.033367264550602
70,51.32199065483375,17.936168882349868
71,53.001541444415345,18.780281481410178
