Time_h,OD_600nm,Oil_gL,PHB_gL
0,0.07,25.12,-0.05
2,0.03,24.57,0.31
4,0.14,24.51,-0.09
6,0.28,24.65,0.21
8,0.21,24.98,0.02
10,0.38,24.42,0.17
12,0.87,23.26,0.62
14,1.32,22.2,0.78
16,2.13,20.05,1.71
18,3.86,16.42,3.04
20,6.62,10.37,5.27
22,11.63,0.32,8.59
24,12.02,0.1,8.63
26,11.81,-0.53,8.88
28,11.83,0.1,8.81
30,11.94,-0.12,8.82
32,11.9,-0.2,8.77
34,12.03,0.18,8.74
36,11.91,0.31,8.65
38,11.86,0.28,8.75
40,12.15,-0.25,8.77
42,11.98,-0.09,8.75
44,12.01,0.1,8.68
46,11.86,0.29,8.5
48,11.95,-0.14,8.83
50,12.01,-0.06,8.8
52,11.88,-0.33,8.87
54,12.04,-0.36,8.85
56,11.94,0.24,8.52
58,11.97,0.41,8.57
60,11.94,-0.02,8.72
62,12.19,0.3,8.56
64,12.0,0.11,8.7
66,11.89,-0.19,8.86
68,12.08,0.11,8.9
70,11.88,0.46,8.61
