Time_h,OD_600nm,Biomass_gL,Trehalose_gL,Proline_gL,pH,DO_percent,Temperature_C,Osmolality_mOsm,Viscosity_cP,Strain,Condition
0.0,0.036,0.011,0.016,-0.005,6.69,100.0,37.0,512.0,1.27,E. coli W3110,Osmotic stress
0.5,0.049,0.015,0.008,0.007,6.84,96.3,37.0,522.0,1.26,E. coli W3110,Osmotic stress
1.0,0.059,0.018,0.016,-0.011,6.81,106.8,37.3,513.0,1.21,E. coli W3110,Osmotic stress
1.5,0.052,0.015,0.024,-0.0,6.82,104.2,37.1,480.0,1.21,E. coli W3110,Osmotic stress
2.0,0.021,0.006,0.012,0.003,7.0,101.7,37.8,494.0,1.23,E. coli W3110,Osmotic stress
2.5,0.084,0.025,0.009,0.006,6.69,99.6,37.0,488.0,1.17,E. coli W3110,Osmotic stress
3.0,0.093,0.028,0.018,0.026,6.88,98.7,37.4,531.0,1.21,E. coli W3110,Osmotic stress
3.5,0.081,0.024,0.008,0.007,6.78,96.6,37.0,480.0,1.1,E. coli W3110,Osmotic stress
4.0,0.047,0.014,0.004,-0.006,6.81,99.9,37.8,520.0,1.25,E. coli W3110,Osmotic stress
4.5,0.067,0.02,0.002,0.003,6.79,100.3,37.4,521.0,1.13,E. coli W3110,Osmotic stress
5.0,0.06,0.018,0.02,-0.011,6.78,95.8,37.7,539.0,1.28,E. coli W3110,Osmotic stress
5.5,0.078,0.023,-0.002,0.003,6.77,100.4,37.1,496.0,1.19,E. coli W3110,Osmotic stress
6.0,0.085,0.026,0.022,-0.002,6.81,98.9,38.3,518.0,1.2,E. coli W3110,Osmotic stress
6.5,0.064,0.019,0.01,0.011,6.72,93.8,38.2,549.0,1.18,E. coli W3110,Osmotic stress
7.0,0.088,0.026,-0.007,-0.0,6.83,96.8,38.0,492.0,1.2,E. coli W3110,Osmotic stress
7.5,0.103,0.031,0.012,0.004,6.77,98.0,37.7,474.0,1.28,E. coli W3110,Osmotic stress
8.0,0.132,0.04,-0.01,0.002,6.74,104.7,38.1,469.0,1.09,E. coli W3110,Osmotic stress
8.5,0.127,0.038,0.016,0.02,6.77,100.8,37.5,520.0,1.28,E. coli W3110,Osmotic stress
9.0,0.139,0.042,0.02,0.004,6.86,95.0,38.4,469.0,1.23,E. coli W3110,Osmotic stress
9.5,0.137,0.041,0.005,0.021,6.77,100.5,38.8,499.0,1.16,E. coli W3110,Osmotic stress
10.0,0.176,0.053,0.015,0.015,6.81,94.1,38.6,517.0,1.17,E. coli W3110,Osmotic stress
10.5,0.17,0.051,0.033,0.012,6.76,102.0,37.7,512.0,1.3,E. coli W3110,Osmotic stress
11.0,0.159,0.048,0.008,0.011,6.83,97.4,38.3,516.0,1.17,E. coli W3110,Osmotic stress
11.5,0.221,0.066,0.007,0.014,6.82,98.1,37.6,515.0,1.17,E. coli W3110,Osmotic stress
12.0,0.225,0.068,0.033,-0.004,6.88,102.4,38.5,536.0,1.28,E. coli W3110,Osmotic stress
12.5,0.223,0.067,0.037,0.009,6.78,94.5,38.5,492.0,1.24,E. coli W3110,Osmotic stress
13.0,0.244,0.073,0.02,0.019,6.82,94.1,37.4,498.0,1.18,E. coli W3110,Osmotic stress
13.5,0.283,0.085,0.033,0.014,6.79,96.2,37.8,498.0,1.24,E. coli W3110,Osmotic stress
14.0,0.312,0.094,0.038,0.004,6.85,100.9,38.3,531.0,1.19,E. coli W3110,Osmotic stress
14.5,0.336,0.101,0.019,0.016,6.75,93.0,38.4,534.0,1.3,E. coli W3110,Osmotic stress
15.0,0.369,0.111,0.025,0.032,6.82,88.9,38.0,527.0,1.3,E. coli W3110,Osmotic stress
15.5,0.431,0.129,0.047,0.032,6.77,95.6,38.8,544.0,1.28,E. coli W3110,Osmotic stress
16.0,0.456,0.137,0.053,0.022,6.78,98.4,38.8,498.0,1.27,E. coli W3110,Osmotic stress
16.5,0.479,0.144,0.044,0.032,6.78,100.2,38.6,556.0,1.35,E. coli W3110,Osmotic stress
17.0,0.539,0.162,0.034,0.024,6.79,94.8,38.4,556.0,1.26,E. coli W3110,Osmotic stress
17.5,0.549,0.165,0.064,0.014,6.77,94.8,39.3,541.0,1.21,E. coli W3110,Osmotic stress
18.0,0.631,0.189,0.045,0.024,6.78,99.0,39.7,566.0,1.3,E. coli W3110,Osmotic stress
18.5,0.718,0.215,0.054,0.048,6.84,89.3,38.7,501.0,1.39,E. coli W3110,Osmotic stress
19.0,0.741,0.222,0.063,0.035,6.81,93.5,38.7,525.0,1.24,E. coli W3110,Osmotic stress
19.5,0.799,0.24,0.079,0.038,6.81,94.9,39.3,523.0,1.28,E. coli W3110,Osmotic stress
20.0,0.88,0.264,0.079,0.042,6.74,95.1,38.9,556.0,1.33,E. coli W3110,Osmotic stress
20.5,0.955,0.287,0.081,0.063,6.71,91.6,39.1,524.0,1.31,E. coli W3110,Osmotic stress
21.0,1.053,0.316,0.089,0.066,6.8,92.6,39.6,565.0,1.28,E. coli W3110,Osmotic stress
21.5,1.162,0.349,0.093,0.076,6.79,84.2,38.3,583.0,1.39,E. coli W3110,Osmotic stress
22.0,1.252,0.375,0.106,0.061,6.81,89.1,40.0,574.0,1.46,E. coli W3110,Osmotic stress
22.5,1.4,0.42,0.087,0.072,6.7,91.4,39.4,572.0,1.38,E. coli W3110,Osmotic stress
23.0,1.55,0.465,0.121,0.065,6.71,86.0,39.2,554.0,1.34,E. coli W3110,Osmotic stress
23.5,1.658,0.497,0.135,0.095,6.64,88.3,39.4,562.0,1.32,E. coli W3110,Osmotic stress
24.0,1.865,0.559,0.138,0.084,6.69,88.0,39.5,614.0,1.43,E. coli W3110,Osmotic stress
24.5,2.017,0.605,0.165,0.103,6.75,84.6,38.7,612.0,1.5,E. coli W3110,Osmotic stress
25.0,2.217,0.665,0.175,0.102,6.67,84.7,40.4,605.0,1.49,E. coli W3110,Osmotic stress
25.5,2.39,0.717,0.209,0.115,6.72,80.0,39.7,605.0,1.48,E. coli W3110,Osmotic stress
26.0,2.646,0.794,0.227,0.126,6.66,80.5,39.9,585.0,1.49,E. coli W3110,Osmotic stress
26.5,2.855,0.856,0.224,0.138,6.68,81.4,40.2,615.0,1.49,E. coli W3110,Osmotic stress
27.0,3.165,0.95,0.252,0.154,6.59,77.9,39.3,689.0,1.62,E. coli W3110,Osmotic stress
27.5,3.447,1.034,0.275,0.168,6.64,73.6,40.1,639.0,1.66,E. coli W3110,Osmotic stress
28.0,3.779,1.134,0.298,0.196,6.5,73.7,39.8,684.0,1.57,E. coli W3110,Osmotic stress
28.5,4.1,1.23,0.33,0.196,6.6,72.9,40.4,715.0,1.77,E. coli W3110,Osmotic stress
29.0,4.182,1.255,0.327,0.211,6.52,64.0,39.0,674.0,1.73,E. coli W3110,Osmotic stress
29.5,4.212,1.264,0.326,0.22,6.66,73.4,40.0,704.0,1.77,E. coli W3110,Osmotic stress
30.0,4.181,1.254,0.341,0.205,6.64,69.1,39.8,718.0,1.63,E. coli W3110,Osmotic stress
30.5,4.209,1.263,0.343,0.205,6.62,71.2,40.4,701.0,1.63,E. coli W3110,Osmotic stress
31.0,4.173,1.252,0.326,0.207,6.68,73.8,40.5,756.0,1.69,E. coli W3110,Osmotic stress
31.5,4.217,1.265,0.346,0.22,6.55,65.8,39.9,667.0,1.73,E. coli W3110,Osmotic stress
32.0,4.175,1.253,0.328,0.21,6.69,68.0,40.0,720.0,1.79,E. coli W3110,Osmotic stress
