Time_h,OD_600nm,Temperature_C,HeatShockProteins_gL,DO_percent,Strain,Condition
0.0,0.014,37.0,0.066,100.0,E. coli MG1655,Temperature shift
0.5,0.102,37.0,0.057,97.6,E. coli MG1655,Temperature shift
1.0,0.121,37.0,0.039,99.9,E. coli MG1655,Temperature shift
1.5,0.028,37.0,0.049,100.0,E. coli MG1655,Temperature shift
2.0,0.06,37.0,0.042,95.1,E. coli MG1655,Temperature shift
2.5,0.097,37.0,0.046,100.0,E. coli MG1655,Temperature shift
3.0,0.093,37.0,0.046,94.3,E. coli MG1655,Temperature shift
3.5,0.156,37.0,0.045,96.8,E. coli MG1655,Temperature shift
4.0,0.142,37.0,0.037,100.0,E. coli MG1655,Temperature shift
4.5,0.255,37.0,0.049,96.8,E. coli MG1655,Temperature shift
5.0,0.256,37.0,0.044,95.6,E. coli MG1655,Temperature shift
5.5,0.262,37.0,0.021,97.5,E. coli MG1655,Temperature shift
6.0,0.328,37.0,0.071,100.0,E. coli MG1655,Temperature shift
6.5,0.377,37.8,0.061,92.9,E. coli MG1655,Temperature shift
7.0,0.381,38.7,0.046,94.0,E. coli MG1655,Temperature shift
7.5,0.434,39.5,0.05,98.3,E. coli MG1655,Temperature shift
8.0,0.531,40.3,0.038,97.8,E. coli MG1655,Temperature shift
8.5,0.635,41.2,0.067,92.6,E. coli MG1655,Temperature shift
9.0,0.672,42.0,0.069,89.6,E. coli MG1655,Temperature shift
9.5,0.684,42.8,0.052,95.8,E. coli MG1655,Temperature shift
10.0,0.778,43.7,0.06,93.6,E. coli MG1655,Temperature shift
10.5,0.876,44.5,0.052,90.6,E. coli MG1655,Temperature shift
11.0,0.961,45.4,0.037,86.5,E. coli MG1655,Temperature shift
11.5,1.115,46.2,0.046,86.4,E. coli MG1655,Temperature shift
12.0,1.115,42.0,0.128,88.3,E. coli MG1655,Temperature shift
12.5,1.283,42.0,0.126,87.9,E. coli MG1655,Temperature shift
13.0,1.434,42.0,0.141,88.9,E. coli MG1655,Temperature shift
13.5,1.591,42.0,0.154,86.5,E. coli MG1655,Temperature shift
14.0,1.657,42.0,0.165,82.1,E. coli MG1655,Temperature shift
14.5,1.844,42.0,0.178,85.5,E. coli MG1655,Temperature shift
15.0,2.022,42.0,0.166,81.9,E. coli MG1655,Temperature shift
15.5,2.203,42.0,0.184,81.2,E. coli MG1655,Temperature shift
16.0,2.406,42.0,0.183,81.2,E. coli MG1655,Temperature shift
16.5,2.653,42.0,0.238,74.1,E. coli MG1655,Temperature shift
17.0,2.817,42.0,0.187,74.9,E. coli MG1655,Temperature shift
17.5,3.191,42.0,0.263,70.9,E. coli MG1655,Temperature shift
18.0,3.479,42.0,0.278,66.5,E. coli MG1655,Temperature shift
18.5,3.802,42.0,0.234,67.8,E. coli MG1655,Temperature shift
19.0,4.236,42.0,0.177,68.6,E. coli MG1655,Temperature shift
19.5,4.555,42.0,0.212,57.4,E. coli MG1655,Temperature shift
20.0,5.002,42.0,0.207,57.4,E. coli MG1655,Temperature shift
20.5,5.556,42.0,0.178,54.3,E. coli MG1655,Temperature shift
21.0,5.999,42.0,0.177,49.8,E. coli MG1655,Temperature shift
21.5,6.585,42.0,0.208,44.6,E. coli MG1655,Temperature shift
22.0,7.231,42.0,0.18,37.1,E. coli MG1655,Temperature shift
22.5,7.525,42.0,0.138,37.8,E. coli MG1655,Temperature shift
23.0,7.506,42.0,0.114,35.9,E. coli MG1655,Temperature shift
23.5,7.461,42.0,0.129,33.4,E. coli MG1655,Temperature shift
24.0,7.484,42.0,0.121,40.0,E. coli MG1655,Temperature shift
24.5,7.482,41.2,0.055,40.0,E. coli MG1655,Temperature shift
25.0,7.498,40.3,0.045,38.5,E. coli MG1655,Temperature shift
25.5,7.513,39.5,0.055,39.1,E. coli MG1655,Temperature shift
26.0,7.513,38.7,0.069,41.2,E. coli MG1655,Temperature shift
26.5,7.447,37.8,0.058,40.5,E. coli MG1655,Temperature shift
27.0,7.532,37.0,0.05,41.6,E. coli MG1655,Temperature shift
27.5,7.508,36.2,0.048,39.8,E. coli MG1655,Temperature shift
28.0,7.542,35.3,0.046,43.1,E. coli MG1655,Temperature shift
28.5,7.513,34.5,0.062,41.8,E. coli MG1655,Temperature shift
29.0,7.533,33.6,0.044,41.8,E. coli MG1655,Temperature shift
29.5,7.514,32.8,0.05,39.4,E. coli MG1655,Temperature shift
30.0,7.54,32.0,0.051,42.8,E. coli MG1655,Temperature shift
30.5,7.516,31.1,0.045,41.1,E. coli MG1655,Temperature shift
31.0,7.497,30.3,0.036,42.1,E. coli MG1655,Temperature shift
31.5,7.568,29.5,0.053,41.6,E. coli MG1655,Temperature shift
32.0,7.527,28.6,0.049,41.8,E. coli MG1655,Temperature shift
32.5,7.517,27.8,0.055,48.7,E. coli MG1655,Temperature shift
33.0,7.462,27.0,0.045,48.0,E. coli MG1655,Temperature shift
33.5,7.461,26.1,0.062,49.6,E. coli MG1655,Temperature shift
34.0,7.509,25.3,0.041,43.3,E. coli MG1655,Temperature shift
34.5,7.504,24.5,0.067,46.4,E. coli MG1655,Temperature shift
35.0,7.482,23.6,0.033,44.2,E. coli MG1655,Temperature shift
35.5,7.504,22.8,0.054,45.7,E. coli MG1655,Temperature shift
