Time_h,OD_600nm,Glucose_gL,Lipid_gL
0,0.047,49.77,0.22
2,0.016,50.0,-0.18
4,0.074,49.38,0.45
6,0.141,49.14,-0.04
8,0.058,50.38,0.01
10,0.089,50.57,0.28
12,0.242,49.42,-0.03
14,0.257,49.91,-0.09
16,0.274,49.54,0.15
18,0.466,48.49,0.32
20,0.594,48.63,0.07
22,0.863,48.45,0.45
24,1.291,46.44,0.79
26,1.715,46.02,1.21
28,2.519,41.63,2.16
30,3.726,39.91,3.14
32,5.328,34.96,4.05
34,7.742,27.87,6.13
36,7.946,27.49,6.47
38,7.915,26.53,6.32
40,8.088,26.92,6.51
42,7.986,27.5,6.56
44,8.004,28.01,5.83
46,7.915,27.27,6.4
48,7.967,26.97,6.5
50,8.007,27.02,6.59
52,7.931,27.94,5.93
54,8.023,27.39,6.07
56,7.964,27.12,6.51
58,7.982,27.59,6.33
60,7.964,27.44,6.37
62,8.111,27.45,6.38
64,7.999,26.94,6.32
66,7.937,27.3,6.4
68,8.049,26.95,6.51
70,7.927,26.76,6.36
72,8.013,27.4,6.7
74,7.882,27.75,6.32
76,7.92,27.52,6.06
78,8.012,27.13,6.53
80,8.044,26.45,6.4
82,8.01,27.05,6.58
84,7.993,27.13,6.63
86,7.982,26.94,6.29
88,7.911,27.46,6.5
90,7.957,27.61,6.35
92,7.972,28.31,6.24
94,8.063,27.19,6.77
96,8.021,27.36,6.29
98,7.894,27.55,6.14
100,8.019,26.27,6.47
102,7.977,27.34,6.18
104,7.959,27.43,6.3
106,8.037,28.41,6.11
108,8.062,27.01,6.49
110,8.056,27.28,6.53
112,7.95,27.41,6.33
114,7.981,26.75,6.8
116,8.02,27.8,6.16
118,8.059,27.49,6.85
