Time_h,OD_600nm,Biomass_gL,GrowthRate_h
0.0,0.101,0.038,0.0
0.5,0.015,0.006,0.0
1.0,0.05,0.019,0.8464781842676666
1.5,0.08,0.03,0.8443635093483024
2.0,0.256,0.097,0.8318795855446801
2.5,0.253,0.096,0.8320610819092078
3.0,0.478,0.182,0.8161578961347846
3.5,0.831,0.316,0.7911624518310375
4.0,1.126,0.428,0.7702701964793094
4.5,1.532,0.582,0.7414810191078727
5.0,2.369,0.9,0.6821665811250193
5.5,3.703,1.407,0.5877006531866192
6.0,5.475,2.08,0.462191752041846
6.5,8.51,3.234,0.2472339376168036
7.0,12.039,4.575,-0.0027931614727012555
7.5,11.99,4.556,0.0007044425781578212
8.0,12.155,4.619,-0.01096577229526866
8.5,11.951,4.541,0.0035045083782448525
9.0,11.916,4.528,0.005932087588551909
9.5,11.929,4.533,0.005041166335741081
10.0,12.001,4.56,-7.956304411703697e-05
10.5,11.987,4.555,0.0009113682216060293
11.0,12.178,4.628,-0.012638704676714307
11.5,11.968,4.548,0.0022616557383113244
12.0,12.004,4.562,-0.00030851919239925917
12.5,12.071,4.587,-0.005010363619439062
13.0,11.991,4.557,0.0006118898476099976
13.5,12.044,4.577,-0.003148439577426865
14.0,12.032,4.572,-0.002237804270384458
14.5,12.067,4.585,-0.004744161795001444
15.0,11.887,4.517,0.00797797629891393
15.5,12.065,4.585,-0.004577813343931025
16.0,11.989,4.556,0.0007836073196324067
16.5,12.015,4.566,-0.001060678650225888
17.0,11.969,4.548,0.002191062767909274
17.5,12.133,4.61,-0.00940127613548788
18.0,11.836,4.498,0.011600058409524288
18.5,12.112,4.603,-0.007929462922401664
19.0,11.946,4.539,0.0038477070201457797
19.5,12.122,4.606,-0.008664249096043719
