Time_h,OD_600nm,FeedRate_mLh,Biomass_gL
0.0,0.39,0.0,0.14
1.0,0.72,0.0,0.25
2.0,0.52,0.0,0.18
3.0,0.01,0.67,0.0
4.0,0.47,0.75,0.16
5.0,0.32,0.82,0.11
6.0,0.6,0.91,0.21
7.0,0.69,1.01,0.24
8.0,1.45,1.11,0.51
9.0,2.72,1.23,0.95
10.0,3.06,1.36,1.07
11.0,5.27,1.5,1.85
12.0,8.6,1.66,3.01
13.0,11.14,1.83,3.9
14.0,15.85,2.03,5.55
15.0,22.14,2.24,7.75
16.0,27.95,2.48,9.78
17.0,33.69,2.74,11.79
18.0,39.19,3.02,13.72
19.0,40.82,3.34,14.29
20.0,43.2,3.69,15.12
21.0,43.94,4.08,15.38
22.0,43.83,4.51,15.34
23.0,44.39,4.99,15.54
24.0,44.91,5.51,15.72
25.0,44.2,6.09,15.47
26.0,44.92,6.73,15.72
27.0,44.86,7.44,15.7
28.0,45.49,8.22,15.92
29.0,45.16,9.09,15.81
30.0,44.98,10.04,15.74
31.0,44.97,11.1,15.74
32.0,44.78,12.27,15.67
33.0,44.76,13.56,15.67
34.0,45.03,14.98,15.76
35.0,44.51,16.56,15.58
36.0,44.28,18.3,15.5
37.0,44.82,20.22,15.69
38.0,45.23,22.35,15.83
39.0,44.6,24.7,15.61
40.0,43.65,27.3,15.28
41.0,45.25,30.17,15.84
42.0,45.0,33.34,15.75
43.0,44.8,36.85,15.68
44.0,44.92,40.73,15.72
45.0,45.22,45.01,15.83
46.0,45.59,49.74,15.96
47.0,44.83,54.97,15.69
