Time_h,OD_600nm,Glucose_gL,Acetate_gL,Biomass_gL,GrowthRate_h
0.0,0.075,9.79,0.0,0.026,0.0
0.5,0.046,10.04,0.0,0.016,0.0
1.0,0.087,9.92,0.0,0.031,0.0
1.5,0.134,9.83,0.0,0.047,0.0
2.0,0.038,10.07,0.0,0.013,0.4479727589330912
2.5,0.051,10.1,0.0,0.018,0.44730480240200465
3.0,0.157,9.97,0.0,0.055,0.44166831617383
3.5,0.137,9.81,0.0,0.048,0.4427696443099692
4.0,0.1,9.91,0.0,0.035,0.4447320121979418
4.5,0.181,9.88,0.0,0.063,0.44041029646101887
5.0,0.17,9.96,0.0,0.059,0.4410158616055998
5.5,0.218,9.75,0.0,0.076,0.43844555682915876
6.0,0.315,9.67,0.0,0.11,0.43334573893417333
6.5,0.283,9.62,0.0,0.099,0.4350101540294672
7.0,0.388,9.48,0.0,0.136,0.4294513641074678
7.5,0.566,9.47,0.028,0.198,0.4200368305133159
8.0,0.693,9.38,0.03,0.243,0.41329349839975127
8.5,0.947,8.94,0.019,0.332,0.3998422763404563
9.0,1.121,8.84,0.048,0.392,0.390631657485649
9.5,1.391,8.46,0.063,0.487,0.3763800527296774
10.0,1.903,7.76,0.079,0.666,0.34924266208429533
10.5,2.28,7.41,0.034,0.798,0.32927552453158165
11.0,2.873,6.83,0.151,1.006,0.29788680374964505
11.5,3.523,5.91,0.323,1.233,0.2635004352614675
12.0,4.474,4.95,0.38,1.566,0.21316037141647956
12.5,5.642,3.16,0.559,1.975,0.15130212097823184
13.0,7.001,1.9,0.349,2.45,0.07934831379514971
13.5,8.519,0.05,0.388,2.982,-0.0009944947544444306
14.0,8.47,0.06,0.423,2.964,0.0015899259439026703
14.5,8.485,0.09,0.425,2.97,0.0007721305141586921
15.0,8.47,-0.1,0.473,2.964,0.001592752797077862
15.5,8.593,-0.02,0.426,3.007,-0.0049030893119353935
16.0,8.499,0.1,0.431,2.975,3.572794783573974e-05
16.5,8.447,0.27,0.422,2.956,0.002799823047236216
17.0,8.541,-0.04,0.404,2.989,-0.0021773247673319007
17.5,8.439,0.05,0.445,2.954,0.003231644955805696
18.0,8.51,-0.0,0.441,2.979,-0.0005528742220714533
18.5,8.402,0.27,0.436,2.941,0.005187362092622944
19.0,8.434,0.17,0.403,2.952,0.0035157866000252113
19.5,8.51,-0.01,0.454,2.978,-0.0005211032714182329
20.0,8.537,0.07,0.399,2.988,-0.001954764476458448
20.5,8.509,0.06,0.437,2.978,-0.0004536219207969317
21.0,8.494,0.16,0.469,2.973,0.000306127806321832
21.5,8.485,0.01,0.404,2.97,0.0007970391942069555
22.0,8.426,0.11,0.41,2.949,0.003913734680384334
22.5,8.464,0.06,0.425,2.962,0.001905469963397738
23.0,8.477,-0.06,0.414,2.967,0.0012193379231288215
23.5,8.553,0.03,0.397,2.993,-0.002798264716461896
24.0,8.517,0.06,0.427,2.981,-0.0009095778253283449
