Time_h,OD_600nm,Glycerol_gL,Recombinant_Protein_gL,Biomass_gL
0.0,0.01,15.31,0.0,0.003
0.5,0.094,14.88,0.0,0.03
1.0,0.093,14.96,0.0,0.03
1.5,0.01,15.04,0.0,0.003
2.0,0.01,15.14,0.0,0.003
2.5,0.01,14.8,0.0,0.003
3.0,0.123,14.83,0.0,0.039
3.5,0.062,14.86,0.0,0.02
4.0,0.069,15.13,0.0,0.022
4.5,0.108,14.96,0.0,0.034
5.0,0.065,14.9,0.0,0.021
5.5,0.118,14.71,0.0,0.038
6.0,0.104,14.71,0.0,0.033
6.5,0.207,14.7,0.0,0.066
7.0,0.183,14.56,0.0,0.059
7.5,0.282,14.69,0.0,0.09
8.0,0.366,14.08,0.0,0.117
8.5,0.386,14.1,0.0,0.124
9.0,0.506,13.76,0.0,0.162
9.5,0.523,13.66,0.0,0.168
10.0,0.644,13.65,0.0,0.206
10.5,0.845,13.01,0.0,0.27
11.0,1.003,12.93,0.172,0.321
11.5,1.166,12.39,0.103,0.373
12.0,1.459,11.41,0.132,0.467
12.5,1.836,10.69,0.384,0.588
13.0,2.134,10.12,0.522,0.683
13.5,2.616,9.19,0.514,0.837
14.0,3.146,7.7,0.738,1.007
14.5,3.831,6.13,0.907,1.226
15.0,4.637,4.08,1.213,1.484
15.5,5.614,2.22,1.765,1.797
16.0,6.521,-0.34,2.026,2.087
16.5,6.533,0.03,2.138,2.091
17.0,6.517,-0.01,2.261,2.085
17.5,6.508,0.04,2.314,2.083
18.0,6.479,0.11,2.509,2.073
18.5,6.377,0.42,2.667,2.041
19.0,6.484,0.01,2.816,2.075
19.5,6.468,-0.21,2.835,2.07
20.0,6.472,0.27,2.941,2.071
20.5,6.431,0.04,3.124,2.058
21.0,6.53,0.13,3.266,2.09
21.5,6.425,0.1,3.329,2.056
22.0,6.517,0.11,3.47,2.085
22.5,6.491,-0.01,3.66,2.077
23.0,6.517,-0.07,3.762,2.086
23.5,6.535,0.13,3.893,2.091
24.0,6.58,-0.38,4.05,2.106
24.5,6.555,-0.06,4.179,2.098
25.0,6.542,-0.0,4.226,2.094
25.5,6.558,0.05,4.36,2.099
26.0,6.502,-0.09,4.373,2.081
26.5,6.504,-0.3,4.643,2.081
27.0,6.481,0.06,4.831,2.074
27.5,6.512,-0.19,4.935,2.084
28.0,6.545,0.09,5.032,2.094
28.5,6.499,0.05,5.067,2.08
29.0,6.5,-0.01,5.23,2.08
29.5,6.474,0.26,5.32,2.072
