Time_h,OD_600nm,NaCl_gL,Trehalose_gL,Biomass_gL
0.0,0.061,10.0,0.0,0.018
0.5,0.069,10.0,0.0,0.021
1.0,0.051,10.0,0.0,0.015
1.5,0.058,10.0,0.0,0.018
2.0,0.028,10.0,0.0,0.008
2.5,0.01,10.0,0.0,0.003
3.0,0.078,10.0,0.0,0.023
3.5,0.044,10.0,0.0,0.013
4.0,0.072,10.0,0.0,0.022
4.5,0.096,10.0,0.0,0.029
5.0,0.077,10.0,0.0,0.023
5.5,0.095,10.0,0.0,0.029
6.0,0.055,10.0,0.0,0.016
6.5,0.136,10.0,0.0,0.041
7.0,0.074,10.0,0.0,0.022
7.5,0.129,10.0,0.0,0.039
8.0,0.133,10.0,0.0,0.04
8.5,0.186,10.0,0.0,0.056
9.0,0.206,10.0,0.0,0.062
9.5,0.191,10.0,0.0,0.057
10.0,0.251,10.0,0.0,0.075
10.5,0.263,10.0,0.0,0.079
11.0,0.326,10.0,0.0,0.098
11.5,0.401,10.0,0.0,0.12
12.0,0.397,10.0,0.0,0.119
12.5,0.552,10.0,0.061,0.166
13.0,0.554,10.0,0.013,0.166
13.5,0.665,10.0,0.054,0.2
14.0,0.798,10.0,0.066,0.24
14.5,0.779,10.0,0.06,0.234
15.0,0.924,10.0,0.06,0.277
15.5,1.054,10.0,0.088,0.316
16.0,1.177,10.0,0.118,0.353
16.5,1.399,10.0,0.114,0.42
17.0,1.542,10.0,0.127,0.463
17.5,1.792,10.0,0.151,0.538
18.0,1.97,10.0,0.153,0.591
18.5,2.262,10.0,0.168,0.679
19.0,2.538,10.0,0.209,0.761
19.5,2.878,10.0,0.26,0.863
20.0,3.283,10.0,0.276,0.985
20.5,3.729,10.0,0.294,1.119
21.0,4.181,10.0,0.358,1.254
21.5,4.475,10.0,0.376,1.342
22.0,4.48,10.0,0.383,1.344
22.5,4.496,10.0,0.322,1.349
23.0,4.458,10.0,0.361,1.337
23.5,4.492,10.0,0.396,1.348
24.0,4.534,10.0,0.398,1.36
24.5,4.46,10.0,0.356,1.338
25.0,4.493,10.0,0.348,1.348
25.5,4.553,10.0,0.348,1.366
26.0,4.482,10.0,0.358,1.345
26.5,4.473,10.0,0.356,1.342
27.0,4.508,10.0,0.369,1.352
27.5,4.5,10.0,0.356,1.35
